category,pattern,count,percentage
single_link,ii -> V,8784,30.247934
single_link,V -> I,4442,15.296143
single_link,V -> i,1455,5.010331
single_link,V -> ii,1327,4.569559
single_link,I -> ii,673,2.317493
single_link,vi -> ii,595,2.048898
single_link,I -> V,559,1.924931
single_link,I -> vi,555,1.911157
single_link,I -> IV,433,1.491047
single_link,bII -> I,419,1.442837
single_link,i -> ii,295,1.015840
single_link,I -> bii,252,0.867769
single_link,i -> V,223,0.767906
single_link,bII -> i,205,0.705923
single_link,biii -> ii,202,0.695592
single_link,bii -> ii,172,0.592287
single_link,I -> i,166,0.571625
single_link,IV -> V,158,0.544077
single_link,V -> iii,155,0.533747
single_link,II -> ii,149,0.513085
single_link,III -> ii,146,0.502755
single_link,V -> VI,131,0.451102
single_link,i -> vi,130,0.447658
single_link,IV -> I,126,0.433884
single_link,i -> iv,126,0.433884
single_link,VI -> ii,125,0.430441
single_link,i -> IV,118,0.406336
single_link,iii -> ii,117,0.402893
single_link,i -> VI,117,0.402893
single_link,IV -> ii,112,0.385675
single_link,VII -> ii,106,0.365014
single_link,iii -> biii,105,0.361570
single_link,I -> biii,105,0.361570
single_link,iii -> vi,102,0.351240
single_link,I -> II,100,0.344353
single_link,bii -> V,93,0.320248
single_link,I -> bII,90,0.309917
single_link,V -> v,84,0.289256
single_link,V -> IV,83,0.285813
single_link,V -> vi,82,0.282369
single_link,iv -> ii,80,0.275482
single_link,ii -> iii,73,0.251377
single_link,i -> iii,69,0.237603
single_link,bII -> ii,67,0.230716
single_link,I -> iii,66,0.227273
single_link,I -> bVII,66,0.227273
single_link,VII -> i,64,0.220386
single_link,I -> VI,62,0.213499
single_link,VI -> V,61,0.210055
single_link,V -> bii,60,0.206612
single_link,i -> bII,59,0.203168
single_link,i -> VII,58,0.199725
single_link,bVII -> I,56,0.192837
single_link,IV -> iii,55,0.189394
single_link,I -> VII,55,0.189394
single_link,VII -> III,54,0.185950
single_link,V -> III,54,0.185950
single_link,iv -> I,53,0.182507
single_link,III -> VI,52,0.179063
single_link,ii -> I,51,0.175620
single_link,III -> IV,51,0.175620
single_link,VI -> i,50,0.172176
single_link,I -> vii,50,0.172176
single_link,i -> bii,49,0.168733
single_link,i -> vii,48,0.165289
single_link,bVI -> ii,48,0.165289
single_link,VI -> VII,48,0.165289
single_link,V -> bII,46,0.158402
single_link,ii -> i,46,0.158402
single_link,i -> v,45,0.154959
single_link,i -> I,45,0.154959
single_link,vi -> V,43,0.148072
single_link,III -> V,43,0.148072
single_link,ii -> biii,42,0.144628
single_link,v -> i,42,0.144628
single_link,iii -> IV,42,0.144628
single_link,I -> III,42,0.144628
single_link,iv -> V,42,0.144628
single_link,VII -> I,40,0.137741
single_link,ii -> III,40,0.137741
single_link,i -> III,39,0.134298
single_link,iv -> i,39,0.134298
single_link,III -> VII,39,0.134298
single_link,I -> bVI,38,0.130854
single_link,ii -> bII,37,0.127410
single_link,bII -> V,36,0.123967
single_link,I -> iv,36,0.123967
single_link,V -> bVI,36,0.123967
single_link,II -> V,35,0.120523
single_link,vii -> ii,35,0.120523
single_link,II -> I,34,0.117080
single_link,V -> bvi,34,0.117080
single_link,VI -> iv,34,0.117080
single_link,bii -> i,33,0.113636
single_link,V -> II,33,0.113636
single_link,III -> i,33,0.113636
single_link,ii -> bii,32,0.110193
single_link,iii -> VII,32,0.110193
single_link,I -> v,32,0.110193
single_link,I -> bIII,31,0.106749
single_link,III -> I,31,0.106749
single_link,vi -> III,30,0.103306
single_link,IV -> VI,30,0.103306
single_link,vii -> iii,30,0.103306
single_link,V -> bVII,29,0.099862
single_link,bVII -> ii,29,0.099862
single_link,V -> vii,29,0.099862
single_link,VI -> III,29,0.099862
single_link,vi -> iii,28,0.096419
single_link,bII -> III,28,0.096419
single_link,IV -> iv,28,0.096419
single_link,III -> iii,28,0.096419
single_link,VII -> VI,28,0.096419
single_link,IV -> VII,28,0.096419
single_link,VII -> V,28,0.096419
single_link,IV -> bVII,27,0.092975
single_link,iv -> iii,27,0.092975
single_link,vi -> VI,26,0.089532
single_link,VI -> bII,26,0.089532
single_link,vi -> vii,25,0.086088
single_link,V -> VII,24,0.082645
single_link,v -> ii,24,0.082645
single_link,vii -> vi,24,0.082645
single_link,iii -> I,24,0.082645
single_link,vi -> IV,24,0.082645
single_link,biii -> I,24,0.082645
single_link,VI -> IV,23,0.079201
single_link,bIII -> ii,22,0.075758
single_link,vii -> I,22,0.075758
single_link,v -> I,22,0.075758
single_link,bii -> VII,21,0.072314
single_link,IV -> II,21,0.072314
single_link,V -> bvii,20,0.068871
single_link,II -> III,20,0.068871
single_link,IV -> i,20,0.068871
single_link,iii -> i,19,0.065427
single_link,bVI -> bVII,19,0.065427
single_link,v -> VI,19,0.065427
single_link,i -> II,19,0.065427
single_link,bVII -> V,18,0.061983
single_link,IV -> III,18,0.061983
single_link,ii -> v,18,0.061983
single_link,bVI -> I,18,0.061983
single_link,ii -> iv,18,0.061983
single_link,bVII -> bIII,18,0.061983
single_link,vii -> IV,18,0.061983
single_link,III -> iv,17,0.058540
single_link,ii -> bVII,17,0.058540
single_link,vii -> III,17,0.058540
single_link,bii -> I,17,0.058540
single_link,vi -> v,17,0.058540
single_link,IV -> vii,17,0.058540
single_link,I -> bvii,17,0.058540
single_link,V -> bIII,16,0.055096
single_link,biii -> iii,16,0.055096
single_link,bIII -> bVI,16,0.055096
single_link,iii -> VI,16,0.055096
single_link,VII -> IV,16,0.055096
single_link,iv -> VII,16,0.055096
single_link,VI -> I,16,0.055096
single_link,vi -> i,16,0.055096
single_link,VI -> vii,16,0.055096
single_link,VII -> v,15,0.051653
single_link,III -> bII,15,0.051653
single_link,bIII -> bVII,15,0.051653
single_link,bIII -> IV,15,0.051653
single_link,iv -> III,14,0.048209
single_link,bVI -> bII,14,0.048209
single_link,bvi -> vi,14,0.048209
single_link,bIII -> I,14,0.048209
single_link,II -> IV,14,0.048209
single_link,vii -> VI,14,0.048209
single_link,VII -> bii,13,0.044766
single_link,vii -> i,13,0.044766
single_link,vii -> bii,13,0.044766
single_link,VI -> vi,13,0.044766
single_link,vi -> I,13,0.044766
single_link,VI -> v,13,0.044766
single_link,IV -> bIII,13,0.044766
single_link,iv -> bII,13,0.044766
single_link,III -> vi,12,0.041322
single_link,III -> II,12,0.041322
single_link,bVII -> bII,12,0.041322
single_link,bVII -> vi,12,0.041322
single_link,iv -> vii,12,0.041322
single_link,bIII -> V,12,0.041322
single_link,bIII -> II,12,0.041322
single_link,vi -> bvii,12,0.041322
